"Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo","Tên chiến dịch","Lượt phân phối chiến dịch","Kết quả","Chỉ báo kết quả","Chi phí trên mỗi kết quả","Ngân sách nhóm quảng cáo","Loại ngân sách nhóm quảng cáo","Số tiền đã chi tiêu (VND)","Kết thúc","Cài đặt ghi nhận","Lượt mua","Giá trị chuyển đổi từ lượt mua","ROAS (lợi nhuận trên chi tiêu quảng cáo) của lượt mua","Người liên hệ nhắn tin mới","Chi phí trên mỗi người liên hệ nhắn tin mới (VND)","Lượt bắt đầu cuộc trò chuyện qua tin nhắn","Chi phí trên mỗi lượt bắt đầu cuộc trò chuyện qua tin nhắn (VND)","Đơn đặt hàng đã tạo","Đơn đặt hàng đã vận chuyển","Ngày tạo","Người tiếp cận","Lượt hiển thị","Lượt tương tác với bài viết","Tần suất","Lượt click vào liên kết"
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | TOUR XUYÊN VIỆT ""0 ĐỒNG""  | 50.000 | 14/4-20/4 - Bản sao",inactive,50018,reach,6160.82210404,"Sử dụng ngân sách nhóm quảng cáo",0,308152,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,2,154076,2,154076,,,2026-05-07,50018,58235,58,1.164281,49
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | RE-LOCATION COUPLE TX | 50.000 | 14/4-20/4",inactive,49800,reach,7420.24096386,"Sử dụng ngân sách nhóm quảng cáo",0,369528,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,1,369528,1,369528,,,2026-05-07,49800,64310,73,1.291365,22
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | CƠ HỘI GIA NHẬP “VŨ TRỤ” AEON MALL TÂN PHÚ  | 50.000 | 14/4-20/4 - Bản sao",inactive,50344,reach,6018.98935325,"Sử dụng ngân sách nhóm quảng cáo",0,303020,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-05-07,50344,59275,519,1.177399,54
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | STANLEY CUSTOM TOUR  | 50.000 | 14/4-20/4 - Bản sao",inactive,50329,reach,7034.27447396,"Sử dụng ngân sách nhóm quảng cáo",0,354028,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-05-07,50329,62145,245,1.234775,27
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | DEAL HÈ MÁT LẠNH CÙNG AEON MALL Tân Phú  | 50.000 | 14/4-20/4 - Bản sao",inactive,49766,reach,5947.53446128,"Sử dụng ngân sách nhóm quảng cáo",0,295985,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-05-07,49766,57128,20,1.147932,6
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | ĐƯỜNG ĐUA “GLOW UP” | 50.000 | 14/4-20/4 - Bản sao 2",inactive,50282,reach,6766.89471381,"Sử dụng ngân sách nhóm quảng cáo",0,340253,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,1,340253,1,340253,,,2026-05-07,50282,60002,289,1.19331,40
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | ECO CONTEST 2026 SẮP CHÍNH THỨC BÙNG NỔ | 50.000 | 25/5 - 5/6",completed,48894,reach,5957.31582607,"Sử dụng ngân sách nhóm quảng cáo",0,291277,2026-06-05,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-05-25,48894,55608,25,1.137317,9
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | Có một tiện ích bạn sẽ cực thích | 30.000 | 25/5-KPI",inactive,29787,reach,6803.37059791,"Sử dụng ngân sách nhóm quảng cáo",0,202652,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-05-25,29787,34208,3689,1.14842,
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | DECATHLON TÂN PHÚ CHÍNH THỨC LÊN 7  | 50.000 | 25/5 - 1/6",completed,5499,reach,5342.97144935,"Sử dụng ngân sách nhóm quảng cáo",0,29381,2026-06-01,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-05-31,5499,5542,9,1.00782,4
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | TRAO GIỌT HỒNG – SẺ CHIA YÊU THƯƠNG  | 50.000 | 2/6 - 26/6",completed,87407,reach,7023.37341403,"Sử dụng ngân sách nhóm quảng cáo",0,613892,2026-06-26,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-06-03,87407,112931,56,1.292013,14
